"Duration (in seconds)","Finished","RecordedDate","age","prev.participant","diet_1","diet_2","diet_9","diet_3","diet_4","diet_5","diet_10","diet_6","diet_7","diet_8","diet_7_TEXT","happy","bored","proud","angry","hopeful","red.open","elim.open","control.open","speciesism_1","speciesism_2","speciesism_3","speciesism_4","speciesism_5","speciesism_6","gender","gender_3_TEXT","status","status_5_TEXT","elim.pledge","red.pledge","ID","notes_7","notes_1","notes_2","notes_3","notes_4","notes_5","notes_6","notes_3_TEXT","notes_4_TEXT","notes_5_TEXT","notes_6_TEXT","excluded","condition","date","purchase","meatveg","meatveg2"
366,TRUE,"9/23/2019 11:52",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Very energized","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful","Because they feel bad for the animals and don't want them to suffer
",NA,NA,"Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","QN775R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
372,TRUE,"9/23/2019 11:53",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Neither energized nor bored","Neither ashamed nor proud","Somewhat angry","Somewhat hopeful",NA,NA,"That people like uniformed diets as it creates less stress about life in general. Where as if you like changing things up maybe you're less stressed about money and life.","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","AT803P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
244,TRUE,"9/23/2019 12:01",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,"Low-carb",NA,NA,NA,"Other (please specify)",NA,"Non-dairy","Neither unhappy nor happy","Somewhat energized","Somewhat ashamed","Somewhat calm","Very despairing",NA,NA,"Meat is easy to cut out and is not a necessary part of a diet.","Disagree","Disagree","Strongly disagree","Somewhat disagree","Agree","Strongly agree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","TN772P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","23-Sep","GP","meat","red"
389,TRUE,"9/23/2019 12:02",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Neither energized nor bored","Somewhat ashamed","Somewhat calm","Somewhat despairing",NA,NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","NC771L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","23-Sep","PATTY","veg","vegprot"
278,TRUE,"9/23/2019 12:11",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"It's just what they perfer","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"RF774M","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","23-Sep","CP","meat","poultry"
296,TRUE,"9/23/2019 12:12",19,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Very energized","Neither ashamed nor proud","Very calm","Somewhat hopeful",NA,NA,"Routinely eating the same food is a lovely way to get all the food you consistently like. I assume though, that after some time, people start to want different things","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","PQ773C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","23-Sep","VP","veg","veg"
457,TRUE,"9/23/2019 12:31",22,"No, I promise that I haven’t done this before",NA,NA,NA,NA,"Low-carb",NA,"Pescetarian or avoiding certain meats",NA,"Other (please specify)",NA,"Lactose intolerant","Happy","Somewhat energized","Somewhat proud","Somewhat calm","Very hopeful","Yes, I believe there is a shift in food consumption and production patterns. The shift in trends are affecting behaviours in users and producers, with motivation both internally and externally motivated.",NA,NA,"Somewhat disagree","Disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","CX720V","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","23-Sep","TOFU","veg","vegprot"
277,TRUE,"9/23/2019 12:43",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Somewhat proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"Because some people like some food but not other food","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"CM765K","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","23-Sep","CS","meat","poultry"
360,TRUE,"9/23/2019 12:51",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat bored","Neither ashamed nor proud","Very calm","Somewhat hopeful","I think it's just the new trend that will fade within a couple years.",NA,NA,"Agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Strongly agree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","FR770T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
312,TRUE,"9/23/2019 13:01",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful",NA,NA,"Because people are picky and don't eat all types of food","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","MT767Q","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","23-Sep","CCLUB","meat","mix"
453,TRUE,"9/23/2019 13:08",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Very calm","Somewhat despairing",NA,"Health reasons and as a result of a culture shift",NA,"Somewhat agree","Somewhat disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,"Yes, I will pledge to stop eating meat",NA,"PL768C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
350,TRUE,"9/23/2019 13:08",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Somewhat bored","Neither ashamed nor proud","Neither calm nor angry","Somewhat despairing",NA,NA,"It could be cultural/religious restrictions such as eating pork or fish. Or health restrictions","Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"MN762Y","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","23-Sep","HAM","meat","pork"
303,TRUE,"9/23/2019 13:14",18,"No, I promise that I haven’t done this before",NA,"Gluten free",NA,NA,NA,NA,"Pescetarian or avoiding certain meats",NA,"Other (please specify)",NA,"Dairy Free","Happy","Neither energized nor bored","Somewhat ashamed","Neither calm nor angry","Somewhat hopeful",NA,"They are realizing how it affects their body and the environment
",NA,"Agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"RX763F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
318,TRUE,"9/23/2019 13:25",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat bored","Neither ashamed nor proud","Very calm","Somewhat hopeful",NA,NA,"Everyone has different tastes","Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,"Yes, I will pledge to stop eating meat",NA,"FF766L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","23-Sep","CP","meat","poultry"
353,TRUE,"9/23/2019 13:26",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,"Pescetarian or avoiding certain meats",NA,NA,NA,NA,"Happy","Somewhat energized","Somewhat proud","Neither calm nor angry","Somewhat hopeful","Mostly for environmental impact",NA,NA,"Somewhat agree","Strongly disagree","Strongly disagree","Agree","Neither agree nor disagree","Agree","Man",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","NP764T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","23-Sep","FP","veg","vegprot"
362,TRUE,"9/23/2019 13:39",25,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Somewhat hopeful",NA,"Humans follow whatever is popular. This is an example of that",NA,"Agree","Disagree","Somewhat agree","Strongly agree","Strongly agree","Agree","Man",NA,"Carleton graduate student",NA,"No, thanks",NA,"CM722L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","23-Sep","CP","meat","poultry"
753,TRUE,"9/23/2019 13:41",29,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unhappy","Neither energized nor bored","Very ashamed","Neither calm nor angry","Neither despairing nor hopeful",NA,NA,"Some people who have diet restrictions, because due to their religion that applies specific dietary restrictions. Other many not care about the not follow an beliefs that implement restrictions","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","PM769R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
451,TRUE,"9/23/2019 13:53",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful","Because they like farm animals and don't want to see them suffer.",NA,NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Agree","Somewhat disagree","Man",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","NQ761P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","23-Sep","SP","meat","red"
341,TRUE,"9/23/2019 14:01",41,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Somewhat proud","Somewhat calm","Somewhat hopeful",NA,NA,"Religious reasons. Or uninformed. Laziness. Convenience","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"TC725F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","23-Sep","CS","meat","poultry"
300,TRUE,"9/23/2019 14:03",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful",NA,"Their own beliefs and preferences",NA,"Disagree","Disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"PR726T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","23-Sep","CS","meat","poultry"
347,TRUE,"9/23/2019 14:15",21,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful",NA,NA,"Preference or diet restrictions","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","NL728X","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
374,TRUE,"9/23/2019 14:15",21,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Neither energized nor bored","Somewhat proud","Somewhat calm","Somewhat hopeful",NA,NA,"Habit, foods eaten while growing up, or pickiness/ individual preferences 
","Somewhat agree","Disagree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","CM724L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
310,TRUE,"9/23/2019 14:23",20,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful","To save animals and also to reduce waste and anything",NA,NA,"Somewhat disagree","Disagree","Strongly disagree","Disagree","Agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","TF723C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
302,TRUE,"9/23/2019 14:29",22,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful","people are beginning to change their behaviour with social pressure and veganism being the new trend",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","CP727R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
325,TRUE,"9/27/2019 11:37",21,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)","Gluten free",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Very hopeful",NA,NA,"Cultural background and variation across cultures","Somewhat disagree","Strongly disagree","Disagree","Disagree","Somewhat disagree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"TC733N","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","27-Sep","CS","meat","poultry"
271,TRUE,"9/27/2019 11:42",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,"Guilt as well as knowledge",NA,"Neither agree nor disagree","Somewhat disagree","Strongly disagree","Disagree","Strongly agree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"AC735F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
322,TRUE,"9/27/2019 11:44",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Very energized","Somewhat proud","Somewhat calm","Somewhat despairing",NA,NA,"Pickiness/unwilling to try something new, unless it's due to dietary restrictions.
","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"CP729F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","27-Sep","CS","meat","poultry"
227,TRUE,"9/27/2019 11:46",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Very energized","Somewhat ashamed","Somewhat calm","Neither despairing nor hopeful",NA,"Some people have strict diets for training",NA,"Somewhat disagree","Disagree","Strongly disagree","Disagree","Somewhat disagree","Disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"TR046Q","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
401,TRUE,"9/27/2019 11:52",54,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful","To help the environment",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Woman",NA,"Carleton staff or faculty",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","LT047P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","27-Sep","CS","meat","poultry"
413,TRUE,"9/27/2019 11:53",48,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Somewhat proud","Somewhat calm","Somewhat hopeful",NA,NA,"Some people eat foods because it makes them happy, others avoid some foods be Use it makes them sad.","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Woman",NA,"Carleton staff or faculty",NA,NA,NA,"XP734F","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","27-Sep","CS","meat","poultry"
275,TRUE,"9/27/2019 11:59",21,"No, I promise that I haven’t done this before",NA,"Gluten free",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Very energized","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful",NA,"Climate change",NA,"Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Agree","Somewhat agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"JL043K","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","27-Sep","SC","meat","poultry"
301,TRUE,"9/27/2019 11:59",21,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Somewhat ashamed","Somewhat calm","Somewhat hopeful",NA,NA,"It's expensive and challenging to try new meals","Somewhat disagree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","LT044M","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","27-Sep","CS","meat","poultry"
388,TRUE,"9/27/2019 12:10",18,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Somewhat unhappy","Neither energized nor bored","Somewhat ashamed","Very angry","Very despairing","There is an increasing need to.help the environment . People now.realize that it's urgent and we need to do something about it",NA,NA,"Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","XV039R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","27-Sep","TOFU","veg","vegprot"
322,TRUE,"9/27/2019 12:11",25,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Somewhat despairing",NA,NA,"Good for them","Disagree","Strongly disagree","Disagree","Somewhat disagree","Strongly disagree","Disagree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"XL040V","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","27-Sep","CP","meat","poultry"
444,TRUE,"9/27/2019 12:19",22,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat bored","Somewhat ashamed","Somewhat calm","Neither despairing nor hopeful","People are reducing their meat consumption because more value is being placed on personal responsibility and climate change. I also think being vegan has become trendy.",NA,NA,"Somewhat agree","Strongly disagree","Strongly disagree","Agree","Agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","RX042T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce","27-Sep","CS","meat","poultry"
315,TRUE,"9/27/2019 12:27",39,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"Vegan diet. Keto lifestyle.","Agree","Somewhat agree","Disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Man",NA,"Carleton staff or faculty",NA,"No, thanks",NA,"XT038L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","27-Sep","CLUB","meat","mix"
507,TRUE,"9/27/2019 12:33",21,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"Cultural influence, tolerances,sustaining the environment , care towArds animals","Somewhat agree","Neither agree nor disagree","Disagree","Somewhat disagree","Agree","Disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","XT037N","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","27-Sep","CS","meat","poultry"
381,TRUE,"9/27/2019 12:34",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Dairy free","Happy","Somewhat energized","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful",NA,"To help fight climate change and to treat animals better.",NA,"Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"LW036V","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","27-Sep","SC","meat","poultry"
305,TRUE,"9/27/2019 12:38",19,"Not sure",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Very bored","Neither ashamed nor proud","Very calm","Somewhat hopeful",NA,"Cause meat is offensive to god",NA,"Strongly agree","Neither agree nor disagree","Somewhat disagree","Agree","Somewhat disagree","Agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"NX035W","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","27-Sep","GP","meat","red"
339,TRUE,"9/27/2019 12:45",19,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unhappy","Somewhat energized","Somewhat proud","Neither calm nor angry","Somewhat hopeful",NA,NA,"It depends on cultural background. Growing up eating one food or being given the chance to try different cuisines from a young age.","Disagree","Disagree","Strongly disagree","Somewhat agree","Agree","Somewhat disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","TM041T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","27-Sep","SC","meat","poultry"
257,TRUE,"9/27/2019 12:45",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful",NA,NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Man",NA,"Carleton undergraduate student",NA,NA,"No, thanks","QV736P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
323,TRUE,"9/27/2019 12:57",20,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Very happy","Neither energized nor bored","Very proud","Somewhat calm","Neither despairing nor hopeful",NA,NA,"Some people like to explore new things while others prefer what is familiar and that they already know","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Woman",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"PT031L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","27-Sep","EP","veg","veg"
412,TRUE,"9/27/2019 13:00",27,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat energized","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"Some people have less time to commit to exploring new food","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Woman",NA,"Carleton graduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","WX033R","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","27-Sep","FP","veg","vegprot"
274,TRUE,"9/27/2019 13:02",22,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Intolerance to fish","Neither unhappy nor happy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Neither despairing nor hopeful","Health benefits and animal cruelty",NA,NA,"Somewhat agree","Strongly disagree","Disagree","Somewhat agree","Agree","Somewhat agree","Woman",NA,"Carleton undergraduate student",NA,NA,"No, thanks","TR045L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
516,TRUE,"9/27/2019 13:23",25,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Neither energized nor bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"Culture or empathy , beliefs","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Woman",NA,"Other:","Alumni","No, thanks",NA,"LL032P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","27-Sep","CS","meat","poultry"
